anio;categoria;fase;ronda;nivel;zona;grupo;jornada;fecha;local;ptsL;visitante;ptsV
2023.0;JUVENILES;Playoff;SEMIFINAL;INTERCONFERENCIA;INTERCONFERENCIA;BOCA JUNIORS AZUL-LANUS A;1.0;10/12/2023;BOCA JUNIORS A;85.0;LANUS A;52.0
2023.0;JUVENILES;Playoff;SEMIFINAL;INTERCONFERENCIA;INTERCONFERENCIA;RIVER PLATE-FERROCARRIL OESTE A;1.0;10/12/2023;RIVER PLATE;84.0;FERROCARRIL OESTE A;76.0
2023.0;JUVENILES;Playoff;FINAL;INTERCONFERENCIA;INTERCONFERENCIA;BOCA JUNIORS AZUL-RIVER PLATE;1.0;17/12/2023;BOCA JUNIORS A;83.0;RIVER PLATE;68.0
2023.0;JUVENILES;Playoff;Octavos de Final;3;CENTRO;VELEZ SARSFIELD AZUL-DEPORTIVO CROVARA B;1.0;26/11/2023;VELEZ SARSFIELD B;100.0;DEPORTIVO CROVARA B;19.0
2023.0;JUVENILES;Playoff;Octavos de Final;3;CENTRO;FERROCARRIL OESTE C-CIRCULO URQUIZA BLANCO;1.0;26/11/2023;FERROCARRIL OESTE C;69.0;CIRCULO URQUIZA B;51.0
2023.0;JUVENILES;Playoff;Octavos de Final;3;CENTRO;PINOCHO VERDE-IMPERIO NEGRO;1.0;26/11/2023;PINOCHO C;60.0;IMPERIO B;57.0
2023.0;JUVENILES;Playoff;Octavos de Final;3;CENTRO;ALL BOYS NEGRO-NUEVA CHICAGO;1.0;26/11/2023;ALL BOYS B;74.0;NUEVA CHICAGO;80.0
2023.0;JUVENILES;Playoff;Octavos de Final;3;OESTE;DEP. MORON ROJO-SAN MIGUEL BLANCO;1.0;26/11/2023;DEP. MORON B;20.0;SAN MIGUEL A;0.0
2023.0;JUVENILES;Playoff;Octavos de Final;2;SUR;LANUS B-COUNTRY BANFIELD;1.0;26/11/2023;LANUS B;54.0;COUNTRY BANFIELD A;67.0
2023.0;JUVENILES;Playoff;Octavos de Final;2;SUR;JUVENTUD UNIDA-LOBOS  ATHLETIC  CLUB;1.0;26/11/2023;JUVENTUD UNIDA;39.0;LOBOS ATHLETIC CLUB;38.0
2023.0;JUVENILES;Playoff;Octavos de Final;2;SUR;VILLEGAS BASQUET-VILLA ESPAÑA;1.0;26/11/2023;UNION VILLEGAS;67.0;VILLA ESPAÑA;64.0
2023.0;JUVENILES;Playoff;Octavos de Final;2;SUR;CLUB  SOCIAL  ALEJANDRO  KORN-DEFENSORES DE GLEW;1.0;26/11/2023;CLUB SOCIAL ALEJANDRO KORN;45.0;DEFENSORES DE GLEW;62.0
2023.0;JUVENILES;Playoff;Octavos de Final;2;CENTRO;"DEPORTIVO CROVARA  ""A""-ESTRELLA DE BOEDO";1.0;26/11/2023;DEPORTIVO CROVARA A;74.0;ESTRELLA DE BOEDO;35.0
2023.0;JUVENILES;Playoff;Octavos de Final;2;CENTRO;SAN LORENZO ROJO-CIUDAD DE BUENOS AIRES B;1.0;26/11/2023;SAN LORENZO B;67.0;CIUDAD DE BUENOS AIRES B;81.0
2023.0;JUVENILES;Playoff;Octavos de Final;2;CENTRO;PINOCHO BLANCO-RACING ANEXO;1.0;26/11/2023;PINOCHO B;72.0;RACING ANEXO;52.0
2023.0;JUVENILES;Playoff;Octavos de Final;2;CENTRO;MACABI-ARGENTINOS JUNIORS;1.0;26/11/2023;MACABI;75.0;ARGENTINOS JUNIORS;65.0
2023.0;JUVENILES;Playoff;Octavos de Final;2;NORTE;CENTRO GALICIA-PLATENSE BLANCO;1.0;26/11/2023;CENTRO GALICIA;51.0;PLATENSE B;63.0
2023.0;JUVENILES;Playoff;Octavos de Final;2;NORTE;NAUTICO HACOAJ AZUL-CAZA Y PESCA B;1.0;26/11/2023;NAUTICO HACOAJ B;62.0;CAZA Y PESCA B;52.0
2023.0;JUVENILES;Playoff;Octavos de Final;2;NORTE;DEPORTIVO SAN ANDRES-BELLA VISTA;1.0;26/11/2023;DEPORTIVO SAN ANDRES;91.0;BELLA VISTA;72.0
2023.0;JUVENILES;Playoff;Octavos de Final;2;NORTE;BANCO PROVINCIA B-CLUB TRES DE FEBRERO AZUL;1.0;26/11/2023;BANCO PROVINCIA B;59.0;CLUB TRES DE FEBRERO B;69.0
2023.0;JUVENILES;Playoff;Octavos de Final;2;OESTE;ARGENTINO DE CASTELAR CENTRO-CIUDADELA NORTE;1.0;26/11/2023;ARGENTINO DE CASTELAR B;62.0;CIUDADELA NORTE;56.0
2023.0;JUVENILES;Playoff;Octavos de Final;2;OESTE;UNLAM A-Club GEI BLANCO;1.0;26/11/2023;UNIVERSIDAD DE LA MATANZA;67.0;GIMNASIA Y ESGRIMA DE ITUZAINGO B;54.0
2023.0;JUVENILES;Playoff;Octavos de Final;2;OESTE;C.A.S.A PADUA B-EL PALOMAR;1.0;26/11/2023;C.A.S.A PADUA B;62.0;EL PALOMAR;70.0
2023.0;JUVENILES;Playoff;Octavos de Final;2;OESTE;MORON B-CLUB PORTUGUES DEL GRAN BUENOS AIRES;1.0;26/11/2023;MORON B;53.0;CLUB PORTUGUES DEL GRAN BUENOS AIRES;57.0
2023.0;JUVENILES;Playoff;Octavos de Final;1;SUR;VARELA JRS-CLUB ATLETICO BERNAL;1.0;26/11/2023;VARELA JRS;76.0;CLUB ATLETICO BERNAL;37.0
2023.0;JUVENILES;Playoff;Octavos de Final;1;SUR;CAÑUELAS FC - Sub19-COOPERARIOS;1.0;26/11/2023;CAÑUELAS FC;74.0;COOPERARIOS;44.0
2023.0;JUVENILES;Playoff;Octavos de Final;1;SUR;BERAZATEGUI-LOS ANDES;1.0;26/11/2023;BERAZATEGUI;71.0;LOS ANDES;66.0
2023.0;JUVENILES;Playoff;Octavos de Final;1;SUR;INDEPENDIENTE-TEMPERLEY;1.0;26/11/2023;INDEPENDIENTE A;56.0;TEMPERLEY;77.0
2023.0;JUVENILES;Playoff;Octavos de Final;1;NORTE;ATLETICO BOULOGNE-BANCO NACIÓN;1.0;26/11/2023;ATLETICO BOULOGNE A;76.0;BANCO NACION A;62.0
2023.0;JUVENILES;Playoff;Octavos de Final;1;NORTE;CAZA Y PESCA A-CIUDAD DE BUENOS AIRES A;1.0;26/11/2023;CAZA Y PESCA A;95.0;CIUDAD DE BUENOS AIRES A;67.0
2023.0;JUVENILES;Playoff;Octavos de Final;1;NORTE;UNION FLORIDA-NAUTICO BUCHARDO A;1.0;26/11/2023;UNION FLORIDA;102.0;NAUTICO BUCHARDO A;46.0
2023.0;JUVENILES;Playoff;Octavos de Final;1;NORTE;CLUB SPORTIVO PILAR-BANCO PROVINCIA;1.0;26/11/2023;SPORTIVO PILAR A;80.0;BANCO PROVINCIA A;59.0
2023.0;JUVENILES;Playoff;Octavos de Final;1;CENTRO;IMPERIO BLANCO-FERROCARRIL OESTE B;1.0;26/11/2023;IMPERIO A;85.0;FERROCARRIL OESTE B;57.0
2023.0;JUVENILES;Playoff;Octavos de Final;1;CENTRO;ITALIANO-COLEGIALES BLANCO;1.0;26/11/2023;ITALIANO A;73.0;COLEGIALES A;64.0
2023.0;JUVENILES;Playoff;Octavos de Final;1;CENTRO;VELEZ SARSFIELD BLANCO-GEVP CELESTE;1.0;26/11/2023;VELEZ SARSFIELD A;55.0;GEVP B;44.0
2023.0;JUVENILES;Playoff;Octavos de Final;1;CENTRO;ARQUITECTURA NEGRO-EL TALAR;1.0;26/11/2023;ARQUITECTURA A;68.0;EL TALAR;63.0
2023.0;JUVENILES;Playoff;Octavos de Final;1;OESTE;HURACAN DE SAN JUSTO ROJO-LEANDRO N ALEM;1.0;26/11/2023;HURACAN DE SAN JUSTO A;99.0;LEANDRO N ALEM;52.0
2023.0;JUVENILES;Playoff;Octavos de Final;1;OESTE;C.A.S.A PADUA A-MIDLAND;1.0;26/11/2023;C.A.S.A PADUA A;81.0;MIDLAND;68.0
2023.0;JUVENILES;Playoff;Octavos de Final;1;OESTE;DEFENSORES DE HURLINGHAM VERDE-NOLTING;1.0;26/11/2023;DEFENSORES DE HURLINGHAM A;54.0;NOLTING;58.0
2023.0;JUVENILES;Playoff;Octavos de Final;1;OESTE;CLARIDAD-PORTEÑO ATLETICO CLUB;1.0;26/11/2023;CLARIDAD;96.0;PORTEÑO ATHLETIC CLUB A;61.0
2023.0;JUVENILES;Playoff;Octavos de Final;INTERCONFERENCIA;INTERCONFERENCIA;GEVP BLANCO-LANUS A;1.0;26/11/2023;GEVP A;61.0;LANUS A;64.0
2023.0;JUVENILES;Playoff;Octavos de Final;INTERCONFERENCIA;INTERCONFERENCIA;OBRAS NORTE-G.E DE LOMAS DE ZAMORA A;1.0;26/11/2023;OBRAS SANITARIAS B;79.0;GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA A;52.0
2023.0;JUVENILES;Playoff;Octavos de Final;INTERCONFERENCIA;INTERCONFERENCIA;OBRAS CENTRO-ARGENTINO DE CASTELAR NORTE;1.0;26/11/2023;OBRAS SANITARIAS A;75.0;ARGENTINO DE CASTELAR A;64.0
2023.0;JUVENILES;Playoff;Octavos de Final;INTERCONFERENCIA;INTERCONFERENCIA;CLUB SPORTIVO ESCOBAR-MORON A;1.0;26/11/2023;SPORTIVO ESCOBAR;77.0;MORON A;55.0
2023.0;JUVENILES;Fase Regular;2da Fase;3;SUR;B;1.0;29/10/2023;CLUB SOCIAL EZEIZA;91.0;CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS;32.0
2023.0;JUVENILES;Fase Regular;2da Fase;3;SUR;B;1.0;29/10/2023;TAPONAZO  FUTBOL CLUB;75.0;TALLERES;37.0
2023.0;JUVENILES;Fase Regular;2da Fase;3;SUR;B;2.0;5/11/2023;CLUB  ATLETICO Y PROGRESO DE BRANDSEN;65.0;CLUB SOCIAL EZEIZA;70.0
2023.0;JUVENILES;Fase Regular;2da Fase;3;SUR;B;2.0;5/11/2023;TALLERES;20.0;CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS;0.0
2023.0;JUVENILES;Fase Regular;2da Fase;3;SUR;B;3.0;12/11/2023;CLUB SOCIAL EZEIZA;65.0;TALLERES;58.0
2023.0;JUVENILES;Fase Regular;2da Fase;3;SUR;B;3.0;12/11/2023;TAPONAZO  FUTBOL CLUB;20.0;CLUB  ATLETICO Y PROGRESO DE BRANDSEN;0.0
2023.0;JUVENILES;Fase Regular;2da Fase;3;SUR;B;4.0;26/11/2023;TAPONAZO  FUTBOL CLUB;71.0;CLUB SOCIAL EZEIZA;56.0
2023.0;JUVENILES;Fase Regular;2da Fase;3;SUR;B;4.0;26/11/2023;CLUB  ATLETICO Y PROGRESO DE BRANDSEN;57.0;CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS;15.0
2023.0;JUVENILES;Fase Regular;2da Fase;3;SUR;B;5.0;3/12/2023;TALLERES;46.0;CLUB  ATLETICO Y PROGRESO DE BRANDSEN;68.0
