jornada_id;club;P_tira;bandas_ok;bandas_faltantes
10/12/2023|WILDE SPORTING|GIMNASIA Y ESGRIMA DE LA PLATA;WILDE SPORTING;0.14999999999999997;U19;U11,U13,U15,U17,U9
17/12/2023|WILDE SPORTING|VARELA JRS;WILDE SPORTING;0.14999999999999997;U19;U11,U13,U15,U17,U9
17/12/2023|WILDE SPORTING|VARELA JRS;VARELA JRS;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|BOCA JUNIORS|SPORTIVO ESCOBAR;SPORTIVO ESCOBAR;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|BOCA JUNIORS|SPORTIVO ESCOBAR;BOCA JUNIORS;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|PINOCHO|LANUS;PINOCHO;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|PINOCHO|LANUS;LANUS;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|RIVER PLATE|OBRAS SANITARIAS;OBRAS SANITARIAS;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|RIVER PLATE|OBRAS SANITARIAS;RIVER PLATE;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|FERROCARRIL OESTE|OBRAS SANITARIAS;FERROCARRIL OESTE;0.3;U15,U19;U11,U13,U17,U9
3/12/2023|FERROCARRIL OESTE|OBRAS SANITARIAS;OBRAS SANITARIAS;0.3;U15,U19;U11,U13,U17,U9
10/12/2023|BOCA JUNIORS|LANUS;LANUS;0.3;U17,U19;U11,U13,U15,U9
10/12/2023|BOCA JUNIORS|LANUS;BOCA JUNIORS;0.3;U17,U19;U11,U13,U15,U9
10/12/2023|RIVER PLATE|FERROCARRIL OESTE;FERROCARRIL OESTE;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|RIVER PLATE|FERROCARRIL OESTE;RIVER PLATE;0.14999999999999997;U19;U11,U13,U15,U17,U9
17/12/2023|BOCA JUNIORS|RIVER PLATE;RIVER PLATE;0.14999999999999997;U19;U11,U13,U15,U17,U9
17/12/2023|BOCA JUNIORS|RIVER PLATE;BOCA JUNIORS;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|VELEZ SARSFIELD|DEPORTIVO CROVARA;VELEZ SARSFIELD;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|VELEZ SARSFIELD|DEPORTIVO CROVARA;DEPORTIVO CROVARA;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|FERROCARRIL OESTE|CIRCULO URQUIZA;CIRCULO URQUIZA;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|FERROCARRIL OESTE|CIRCULO URQUIZA;FERROCARRIL OESTE;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|PINOCHO|IMPERIO;PINOCHO;0.3;U15,U19;U11,U13,U17,U9
26/11/2023|PINOCHO|IMPERIO;IMPERIO;0.3;U15,U19;U11,U13,U17,U9
26/11/2023|ALL BOYS|NUEVA CHICAGO;NUEVA CHICAGO;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|ALL BOYS|NUEVA CHICAGO;ALL BOYS;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|DEP. MORON|SAN MIGUEL;SAN MIGUEL;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|DEP. MORON|SAN MIGUEL;DEP. MORON;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|LANUS|COUNTRY BANFIELD;COUNTRY BANFIELD;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|LANUS|COUNTRY BANFIELD;LANUS;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|JUVENTUD UNIDA|LOBOS ATHLETIC CLUB;LOBOS ATHLETIC CLUB;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|JUVENTUD UNIDA|LOBOS ATHLETIC CLUB;JUVENTUD UNIDA;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|UNION VILLEGAS|VILLA ESPAÑA;VILLA ESPAÑA;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|UNION VILLEGAS|VILLA ESPAÑA;UNION VILLEGAS;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|CLUB SOCIAL ALEJANDRO KORN|DEFENSORES DE GLEW;DEFENSORES DE GLEW;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|CLUB SOCIAL ALEJANDRO KORN|DEFENSORES DE GLEW;CLUB SOCIAL ALEJANDRO KORN;0.14999999999999997;U19;U11,U13,U15,U17,U9
26/11/2023|DEPORTIVO CROVARA|ESTRELLA DE BOEDO;DEPORTIVO CROVARA;0.45;U13,U17,U19;U11,U15,U9
26/11/2023|DEPORTIVO CROVARA|ESTRELLA DE BOEDO;ESTRELLA DE BOEDO;0.45;U13,U17,U19;U11,U15,U9
26/11/2023|SAN LORENZO|CIUDAD DE BUENOS AIRES;CIUDAD DE BUENOS AIRES;0.3;U15,U19;U11,U13,U17,U9
26/11/2023|SAN LORENZO|CIUDAD DE BUENOS AIRES;SAN LORENZO;0.3;U15,U19;U11,U13,U17,U9
26/11/2023|PINOCHO|RACING ANEXO;PINOCHO;0.14999999999999997;U19;U11,U13,U15,U17,U9
