anio,categoria,zona,equipo,partidos
2025,INFANTILES MASCULINO,OESTE,DEP. MORON BLANCO,29
2025,INFANTILES MASCULINO,SUR,MUNICIPALIDAD DE AVELLANEDA,30
2025,INFANTILES MASCULINO,OESTE,EL PORVENIR JOSE C. PAZ,27
2025,INFANTILES MASCULINO,NORTE,SOCIAL BECCAR,28
2025,INFANTILES MASCULINO,NORTE,COLEGIALES BLANCO,26
2025,INFANTILES MASCULINO,NORTE,OBRAS BASKET,32
2025,INFANTILES MASCULINO,OESTE,A.F.A.L.P. A,28
2025,INFANTILES MASCULINO,SUR,ARGENTINO DE QUILMES,24
2025,INFANTILES MASCULINO,CENTRO-OESTE,ESTRELLA DE BOEDO,25
2025,INFANTILES MASCULINO,CENTRO,ITALIANO B,25
2025,INFANTILES MASCULINO,OESTE,ARGENTINO DE CASTELAR NORTE A,29
2025,INFANTILES MASCULINO,SUR,CLUB ATLETICO BERNAL,28
2025,INFANTILES MASCULINO,CENTRO,FERROCARRIL OESTE VERDE (A),26
2025,INFANTILES MASCULINO,NORTE,PLATENSE BLANCO,30
2025,INFANTILES MASCULINO,SUR,LANUS A,28
2025,INFANTILES MASCULINO,NORTE,CLUB 3 DE FEBRERO AZUL B,26
2025,INFANTILES MASCULINO,NORTE,CIUDAD DE BUENOS AIRES BLANCO B,28
2025,INFANTILES MASCULINO,SUR,WILDE SPORTING,26
2025,INFANTILES MASCULINO,CENTRO,ARGENTINOS JUNIORS,26
2025,INFANTILES MASCULINO,SUR,MONTE GRANDE A  ROJO,28
2025,INFANTILES MASCULINO,OESTE,ESTUDIANTIL PORTEÑO B,28
2025,INFANTILES MASCULINO,OESTE,ARGENTINO DE CASTELAR CENTRO B,28
2025,INFANTILES MASCULINO,CENTRO,IMPERIO BLANCO  A,26
2025,INFANTILES MASCULINO,OESTE,DEP. MORON ROJO,23
2025,INFANTILES MASCULINO,CENTRO-OESTE,"DEPORTIVO CROVARA  ""A""",26
2025,INFANTILES MASCULINO,SUR,SOCIAL LANUS,27
2025,INFANTILES MASCULINO,SUR,CLUB EL FOGON,25
2025,INFANTILES MASCULINO,SUR,CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,24
2025,INFANTILES MASCULINO,OESTE,MORON BLANCO,25
